playerID,yearID,Age,PA,wOBA,next_year,wOBA2,PA2,w,delta,age_to
allenni02,2022,24.0,326.0,0.2341526551242596,2023.0,0.2215753534441263,329.0,327.49312977099237,-0.012577301680133296,25.0
almoral01,2017,23.0,323.0,0.3245440775449365,2018.0,0.2863868594221499,479.0,385.8279301745636,-0.03815721812278661,24.0
almoral01,2018,24.0,479.0,0.2863868594221499,2019.0,0.2674037065727933,363.0,413.0095011876485,-0.018983152849356644,25.0
alonspe01,2019,25.0,693.0,0.4223816227854613,2020.0,0.3696428807685259,239.0,355.4227467811159,-0.0527387420169354,26.0
alonspe01,2020,26.0,239.0,0.3696428807685259,2021.0,0.3853408626057991,637.0,347.5867579908676,0.015697981837273167,27.0
alonspe01,2021,27.0,637.0,0.3853408626057991,2022.0,0.3870083024414124,685.0,660.1285930408472,0.0016674398356132936,28.0
alonspe01,2022,28.0,685.0,0.3870083024414124,2023.0,0.3847379820056729,658.0,671.2285927029039,-0.0022703204357394924,29.0
alonspe01,2023,29.0,658.0,0.3847379820056729,2024.0,0.3586363918975752,695.0,675.9940872135994,-0.026101590108097705,30.0
alonspe01,2024,30.0,695.0,0.3586363918975752,2025.0,0.3933427329220374,709.0,701.9301994301995,0.03470634102446224,31.0
alonsyo01,2015,28.0,402.0,0.3129026339027548,2016.0,0.2910135550149666,532.0,457.9528907922912,-0.021889078887788183,29.0
alonsyo01,2016,29.0,532.0,0.2910135550149666,2017.0,0.3789732011617811,521.0,526.4425451092118,0.08795964614681451,30.0
alonsyo01,2017,30.0,521.0,0.3789732011617811,2018.0,0.3212551396985063,574.0,546.2173515981735,-0.05771806146327485,31.0
alonsyo01,2018,31.0,574.0,0.3212551396985063,2019.0,0.2763724684567047,335.0,423.08030803080305,-0.044882671241801564,32.0
altheaa01,2016,25.0,227.0,0.2629936931620078,2017.0,0.381643123196459,412.0,292.71987480438185,0.11864943003445116,26.0
altheaa01,2017,26.0,412.0,0.381643123196459,2018.0,0.2906204380027865,285.0,336.9296987087518,-0.09102268519367251,27.0
altuvjo01,2015,25.0,689.0,0.3452770788138008,2016.0,0.391483201626454,717.0,702.7211948790896,0.04620612281265318,26.0
altuvjo01,2016,26.0,717.0,0.391483201626454,2017.0,0.4040226323598254,662.0,688.4031907179116,0.012539430733371382,27.0
altuvjo01,2017,27.0,662.0,0.4040226323598254,2018.0,0.3499776090172942,599.0,628.9262490087233,-0.054045023342531195,28.0
altuvjo01,2018,28.0,599.0,0.3499776090172942,2019.0,0.3858129191493334,548.0,572.3661726242372,0.03583531013203922,29.0
altuvjo01,2019,29.0,548.0,0.3858129191493334,2020.0,0.271519902401436,210.0,303.6411609498681,-0.11429301674789744,30.0
altuvjo01,2020,30.0,210.0,0.271519902401436,2021.0,0.3632169930620224,678.0,320.6756756756757,0.0916970906605864,31.0
altuvjo01,2021,31.0,678.0,0.3632169930620224,2022.0,0.4115671330959098,604.0,638.8642745709828,0.048350140033887434,32.0
altuvjo01,2022,32.0,604.0,0.4115671330959098,2023.0,0.3946888307900028,410.0,488.44181459566073,-0.016878302305907034,33.0
altuvjo01,2023,33.0,410.0,0.3946888307900028,2024.0,0.3365451965901491,682.0,512.1245421245421,-0.05814363419985369,34.0
altuvjo01,2024,34.0,682.0,0.3365451965901491,2025.0,0.333373124111904,654.0,667.7065868263472,-0.0031720724782450804,35.0
alvarfr01,2023,22.0,423.0,0.332584236712313,2024.0,0.3126752584610366,342.0,378.2117647058824,-0.01990897825127641,23.0
alvarfr01,2024,23.0,342.0,0.3126752584610366,2025.0,0.351181761076079,277.0,306.08723747980616,0.038506502615042404,24.0
alvarpe01,2015,28.0,491.0,0.3543772895024473,2016.0,0.3744150535047274,376.0,425.8731257208766,0.020037764002280134,29.0
alvaryo01,2021,24.0,598.0,0.3903846155692972,2022.0,0.4517935273704552,561.0,578.909404659189,0.061408911801157984,25.0
alvaryo01,2022,25.0,561.0,0.4517935273704552,2023.0,0.4400046161654922,496.0,526.5014191106907,-0.011788911204963004,26.0
alvaryo01,2023,26.0,496.0,0.4400046161654922,2024.0,0.4202471663927822,635.0,556.9584438549956,-0.01975744977270999,27.0
anderbr06,2018,25.0,670.0,0.3281200645837389,2019.0,0.3552032640765455,520.0,585.546218487395,0.02708319949280663,26.0
anderbr06,2019,26.0,520.0,0.3552032640765455,2020.0,0.358757772046225,229.0,317.97062750333777,0.003554507969679488,27.0
anderbr06,2020,27.0,229.0,0.358757772046225,2021.0,0.3077281627834312,264.0,245.2576064908722,-0.05102960926279382,28.0
anderbr06,2021,28.0,264.0,0.3077281627834312,2022.0,0.2928695896596047,383.0,312.5564142194745,-0.01485857312382649,29.0
anderbr06,2022,29.0,383.0,0.2928695896596047,2023.0,0.2954650949460228,361.0,371.67473118279565,0.0025955052864181094,30.0
anderti01,2016,23.0,431.0,0.3114674329825148,2017.0,0.2872258098644104,606.0,503.73384763741564,-0.024241623118104405,24.0
anderti01,2017,24.0,606.0,0.2872258098644104,2018.0,0.3014149013200995,606.0,606.0,0.01418909145568914,25.0
anderti01,2018,25.0,606.0,0.3014149013200995,2019.0,0.3539639890607174,518.0,558.5551601423488,0.052549087740617895,26.0
anderti01,2019,26.0,518.0,0.3539639890607174,2020.0,0.3767990718674731,221.0,309.8186738836265,0.02283508280675567,27.0
anderti01,2020,27.0,221.0,0.3767990718674731,2021.0,0.3359113238237416,551.0,315.4689119170984,-0.040887748043731464,28.0
anderti01,2021,28.0,551.0,0.3359113238237416,2022.0,0.3031891088022569,351.0,428.82705099778264,-0.0327222150214847,29.0
anderti01,2022,29.0,351.0,0.3031891088022569,2023.0,0.2321794573451377,524.0,420.39771428571424,-0.07100965145711921,30.0
anderti01,2023,30.0,524.0,0.2321794573451377,2024.0,0.1746224443740737,241.0,330.15424836601306,-0.057557012971064,31.0
andruel01,2015,27.0,661.0,0.2821112039942758,2016.0,0.3339550385259846,568.0,610.9812855980472,0.05184383453170882,28.0
andruel01,2016,28.0,568.0,0.3339550385259846,2017.0,0.3434220452014379,689.0,622.6762132060461,0.009467006675453249,29.0
andruel01,2017,29.0,689.0,0.3434220452014379,2018.0,0.2856578678494896,428.0,528.0071620411818,-0.057764177351948276,30.0
andruel01,2018,30.0,428.0,0.2856578678494896,2019.0,0.2832332853361034,648.0,515.5092936802974,-0.0024245825133861754,31.0
